scope,position,item,count,frequency_within_position
token_internal_glyph,medial,Sg,1,1.75297128633033e-05
token_internal_glyph,medial,Ti,1,1.75297128633033e-05
token_internal_glyph,medial,Tl,1,1.75297128633033e-05
token_internal_glyph,medial,Ts,1,1.75297128633033e-05
token_internal_glyph,medial,Tt,1,1.75297128633033e-05
token_internal_glyph,medial,Ua,1,1.75297128633033e-05
token_internal_glyph,medial,Ug,1,1.75297128633033e-05
token_internal_glyph,medial,Vb,1,1.75297128633033e-05
token_internal_glyph,medial,Vc,1,1.75297128633033e-05
token_internal_glyph,medial,Wc,1,1.75297128633033e-05
token_internal_glyph,medial,Wd,1,1.75297128633033e-05
token_internal_glyph,medial,Wi,1,1.75297128633033e-05
token_internal_glyph,medial,Wj,1,1.75297128633033e-05
token_internal_glyph,medial,Wk,1,1.75297128633033e-05
token_internal_glyph,medial,Wl,1,1.75297128633033e-05
token_internal_glyph,medial,Xm,1,1.75297128633033e-05
token_internal_glyph,medial,Yn,1,1.75297128633033e-05
token_internal_glyph,medial,Yp,1,1.75297128633033e-05
token_internal_glyph,final,A2,10967,0.3991338210139389
token_internal_glyph,final,B2,4200,0.1528551151872475
token_internal_glyph,final,C1,3664,0.13334789096335117
token_internal_glyph,final,G1,3011,0.10958255995923863
token_internal_glyph,final,F1,1255,0.04567456418095134
token_internal_glyph,final,C2,1027,0.03737671507078648
token_internal_glyph,final,A1,915,0.03330057866579321
token_internal_glyph,final,B3,763,0.027768679259016632
token_internal_glyph,final,B1,465,0.016923244895730976
token_internal_glyph,final,F3,346,0.01259234996542563
token_internal_glyph,final,H1,125,0.004549259380572843
token_internal_glyph,final,B4,104,0.003784983804636605
token_internal_glyph,final,G3,102,0.00371219565454744
token_internal_glyph,final,E2,89,0.003239072678967864
token_internal_glyph,final,A3,69,0.002511191178076209
token_internal_glyph,final,Q1,64,0.0023292208028532955
token_internal_glyph,final,J1,52,0.0018924919023183026
token_internal_glyph,final,Q2,46,0.0016741274520508062
token_internal_glyph,final,L1,24,0.0008734578010699859
token_internal_glyph,final,K2,21,0.0007642755759362375
token_internal_glyph,final,K1,19,0.0006914874258470721
token_internal_glyph,final,P1,17,0.0006186992757579066
token_internal_glyph,final,P2,12,0.0004367289005349929
token_internal_glyph,final,U2,8,0.00029115260035666193
token_internal_glyph,final,A4,7,0.0002547585253120792
token_internal_glyph,final,U6,7,0.0002547585253120792
token_internal_glyph,final,X1,7,0.0002547585253120792
token_internal_glyph,final,E1,6,0.00021836445026749646
token_internal_glyph,final,M2,6,0.00021836445026749646
token_internal_glyph,final,N2,6,0.00021836445026749646
token_internal_glyph,final,Be,5,0.00018197037522291372
token_internal_glyph,final,B5,4,0.00014557630017833097
token_internal_glyph,final,Lp,3,0.00010918222513374823
token_internal_glyph,final,M1,3,0.00010918222513374823
token_internal_glyph,final,Ag,2,7.278815008916548e-05
token_internal_glyph,final,Cg,2,7.278815008916548e-05
token_internal_glyph,final,Ef,2,7.278815008916548e-05
token_internal_glyph,final,F2,2,7.278815008916548e-05
token_internal_glyph,final,G2,2,7.278815008916548e-05
token_internal_glyph,final,Kc,2,7.278815008916548e-05
token_internal_glyph,final,Ra,2,7.278815008916548e-05
token_internal_glyph,final,S1,2,7.278815008916548e-05
token_internal_glyph,final,U1,2,7.278815008916548e-05
token_internal_glyph,final,U5,2,7.278815008916548e-05
token_internal_glyph,final,Uf,2,7.278815008916548e-05
token_internal_glyph,final,Ac,1,3.639407504458274e-05
token_internal_glyph,final,Ad,1,3.639407504458274e-05
token_internal_glyph,final,B6,1,3.639407504458274e-05
token_internal_glyph,final,Bd,1,3.639407504458274e-05
token_internal_glyph,final,Cd,1,3.639407504458274e-05
token_internal_glyph,final,Cf,1,3.639407504458274e-05
token_internal_glyph,final,Ch,1,3.639407504458274e-05
token_internal_glyph,final,Cm,1,3.639407504458274e-05
token_internal_glyph,final,Co,1,3.639407504458274e-05
