source_id,language,seed,model,lag,match_rate,matches,pairs,eligible_family_count
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,1,0.06309119294701074,687,10889,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,2,0.05993485342019544,644,10745,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,3,0.06188095462692199,656,10601,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,4,0.06426317299416659,672,10457,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,5,0.06263938718122758,646,10313,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,6,0.05969121840888976,607,10169,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,7,0.0656359102244389,658,10025,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,8,0.06406234186823195,633,9881,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,9,0.06110711718188354,595,9737,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,10,0.06525591577191703,626,9593,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,11,0.05979468726849402,565,9449,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,12,0.06523374529822676,607,9305,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,13,0.06276607357275407,575,9161,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,14,0.06565376511034712,592,9017,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,15,0.06739546940155527,598,8873,144
french_gutenberg_les_miserables_t1_17489,French,40814041442,iid_k16,16,0.0675907893229465,590,8729,144
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,1,0.0,0,10322,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,2,0.0,0,10169,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,3,0.0,0,10016,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,4,0.0,0,9863,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,5,0.0,0,9710,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,6,0.0,0,9557,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,7,0.0,0,9404,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,8,0.0,0,9251,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,9,0.0,0,9098,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,10,0.0,0,8945,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,11,0.0,0,8792,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,12,0.0,0,8639,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,13,0.0,0,8486,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,14,0.0,0,8333,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,15,0.0,0,8180,153
german_gutenberg_simplicissimus_55171,German,40814041438,fixed_cycle_k16,16,1.0,8027,8027,153
german_gutenberg_simplicissimus_55171,German,40814041438,cycle_shuffle_k16,1,0.0035845766324355743,37,10322,153
german_gutenberg_simplicissimus_55171,German,40814041438,cycle_shuffle_k16,2,0.008555413511653063,87,10169,153
german_gutenberg_simplicissimus_55171,German,40814041438,cycle_shuffle_k16,3,0.011681309904153355,117,10016,153
german_gutenberg_simplicissimus_55171,German,40814041438,cycle_shuffle_k16,4,0.013890297069857041,137,9863,153
german_gutenberg_simplicissimus_55171,German,40814041438,cycle_shuffle_k16,5,0.0203913491246138,198,9710,153
german_gutenberg_simplicissimus_55171,German,40814041438,cycle_shuffle_k16,6,0.02124097520142304,203,9557,153
