source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich,factorization,phase3a5_mechanism
french_profiterole_ud218,French,compositional_affix_2x8,40814041441,slot_grammar,finite_template_slot_grammar,16,387,10000,4812798390325748838,3.032916189032928,2.5201452887906775,0.5127709002422507,0.16906860205911345,0.4924842490373177,0.5330844442404443,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041441,token_markov,exact_token_markov,1,387,10000,2884978953363218783,2.5297033468129437,2.5201452887906775,0.00955805802226628,0.0037783315716873878,-0.006457671497678086,0.025436084250177047,0.877,0.123,True,False,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041441,copy_edit,local_copy_edit,16,387,10000,4220021100854946844,4.291559679119495,2.5201452887906775,1.7714143903288178,0.41276704107077944,1.7460547383422138,1.7961422098220932,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041442,hmm_space_free,categorical_hmm,16,387,10000,4552700097019102813,3.291117853359115,2.94360877607926,0.347509077279855,0.1055899827243093,0.32713866338193237,0.3673842564004671,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041442,hmm_token_aware,categorical_hmm,16,387,10000,8273358023144111735,2.8551148021797945,2.5603005371780005,0.294814265001794,0.10325828746946086,0.27670114368433424,0.31360210863449967,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041442,slot_grammar,finite_template_slot_grammar,16,387,10000,5574312095745381240,3.0361891568115302,2.518620392674093,0.5175687641374371,0.17046657418438482,0.4982723041789495,0.5371554623034779,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041442,token_markov,exact_token_markov,1,387,10000,7875452040837743716,2.526911324476693,2.518620392674093,0.008290931802600099,0.003281053720520677,-0.007923767193183816,0.023325913146098047,0.8507,0.1493,True,False,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_2x8,40814041442,copy_edit,local_copy_edit,16,387,10000,3796010814472045516,4.290644785545061,2.518620392674093,1.7720243928709682,0.4129972256945664,1.7463146069737967,1.797273615877414,1.0,0.0,True,True,2x8,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_4x4,40814041438,hmm_space_free,categorical_hmm,16,387,10000,2885572507206102767,3.267038825095441,2.94264956612026,0.32438925897518134,0.09929152248923911,0.30472642391176474,0.343914529941287,1.0,0.0,True,True,4x4,compositional_affix_factorization
french_profiterole_ud218,French,compositional_affix_4x4,40814041438,hmm_token_aware,categorical_hmm,16,387,10000,6192034104246353584,2.86236752745021,2.561720397139462,0.3006471303107481,0.10503442602235069,0.2818106527257056,0.3193292767785904,1.0,0.0,True,True,4x4,compositional_affix_factorization
