source_id,language,family,control_seed,relation,competitor,selected_hyperparameter,bootstrap_units,bootstrap_replicates,bootstrap_seed,competitor_bits_per_event,trigram_bits_per_event,delta_competitor_minus_trigram_bits_per_event,relative_nll_reduction_trigram_vs_competitor,ci_95_lower,ci_95_upper,bootstrap_probability_trigram_better,bootstrap_probability_competitor_better,direction_match_voynich,strong_direction_match_voynich,phase3b_evaluation_split,phase3b_allocation
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041442,slot_grammar,finite_template_slot_grammar,16,658,10000,5552178721188345272,3.439559991187714,2.9988732343253193,0.4406867568623949,0.12812300352122108,0.41970253375749156,0.46183765086925216,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041442,token_markov,exact_token_markov,1,658,10000,8900153022394752492,3.146703406921393,2.9988732343253193,0.14783017259607378,0.0469793792039348,0.13939625837017638,0.15619683051704117,1.0,0.0,True,True,reserved_test,balanced16
german_rem_v21,German,phase3b_recurrence_avoiding_surface_allocation,40814041442,copy_edit,local_copy_edit,16,658,10000,359441002742233971,4.477801312285286,2.9988732343253193,1.4789280779599667,0.3302799688548893,1.449431503798803,1.5076948738730032,1.0,0.0,True,True,reserved_test,balanced16
italian_old_ud218,Italian,phase3b_recurrence_avoiding_surface_allocation,40814041438,hmm_space_free,categorical_hmm,16,109,10000,38398966011026661,3.912675119046235,3.6022834017461487,0.3103917173000865,0.07932979556343756,0.289975960434254,0.33117981583744843,1.0,0.0,True,True,reserved_test,balanced16
italian_old_ud218,Italian,phase3b_recurrence_avoiding_surface_allocation,40814041438,hmm_token_aware,categorical_hmm,16,109,10000,319877032524741070,3.3217933094996384,2.9818785937891263,0.339914715710512,0.10232867732571638,0.3224274057792049,0.3574600682564867,1.0,0.0,True,True,reserved_test,balanced16
italian_old_ud218,Italian,phase3b_recurrence_avoiding_surface_allocation,40814041438,slot_grammar,finite_template_slot_grammar,16,109,10000,1810889779781280386,3.4571861564421402,2.9649764512934373,0.4922097051487029,0.1423729249382527,0.4739225943516211,0.5105317337225239,1.0,0.0,True,True,reserved_test,balanced16
italian_old_ud218,Italian,phase3b_recurrence_avoiding_surface_allocation,40814041438,token_markov,exact_token_markov,1,109,10000,7385827331053438659,3.0980031841900373,2.9649764512934373,0.13302673289659994,0.042939508124288484,0.12418881476079122,0.14135816228932893,1.0,0.0,True,True,reserved_test,balanced16
italian_old_ud218,Italian,phase3b_recurrence_avoiding_surface_allocation,40814041438,copy_edit,local_copy_edit,16,109,10000,1552313295833798500,4.387655116646234,2.9649764512934373,1.4226786653527963,0.3242457822072946,1.3966614313189019,1.448612638086376,1.0,0.0,True,True,reserved_test,balanced16
italian_old_ud218,Italian,phase3b_recurrence_avoiding_surface_allocation,40814041439,hmm_space_free,categorical_hmm,16,109,10000,4480327801640406062,3.921723295951565,3.5994212606675786,0.3223020352839865,0.08218377763079365,0.3020599187412669,0.3434012863367061,1.0,0.0,True,True,reserved_test,balanced16
italian_old_ud218,Italian,phase3b_recurrence_avoiding_surface_allocation,40814041439,hmm_token_aware,categorical_hmm,16,109,10000,2664139056605581562,3.3146937530514307,2.9787335178739105,0.33596023517752016,0.10135483402297518,0.31716265614870226,0.35438668640012777,1.0,0.0,True,True,reserved_test,balanced16
italian_old_ud218,Italian,phase3b_recurrence_avoiding_surface_allocation,40814041439,slot_grammar,finite_template_slot_grammar,16,109,10000,3907557402202654136,3.455161157646533,2.9620033946080597,0.49315776303847336,0.14273075568329952,0.4738304245496695,0.5120491029140063,1.0,0.0,True,True,reserved_test,balanced16
