source_id,language,factorization,seed,selected_context_order,validation_tokens,validation_events,recomputed_competitor_bits_per_event,recomputed_trigram_bits_per_event,recomputed_delta_bits_per_event,total_token_markov_bits,total_matched_trigram_bits,total_delta_bits,stored_competitor_bits_per_event,stored_trigram_bits_per_event,stored_delta_bits_per_event,competitor_abs_error,trigram_abs_error,delta_abs_error,parity_tolerance,parity_pass,phase3a5_strong_direction_match,phase3a5_direction_match,phase3a5_ci_95_lower,phase3a5_ci_95_upper,control_corpus_sha256,control_key_sha256
german_rem_v21,German,2x8,40814041438,1,2963,19785,2.5882855919458807,2.510609713707539,0.07767587823834177,51209.230436649246,49672.413185703655,1536.8172509455908,2.58828559194588,2.510609713707537,0.07767587823834265,8.881784197001252e-16,1.7763568394002505e-15,8.881784197001252e-16,1e-09,True,True,True,0.06667255494859266,0.08803660469113057,1823cd83cf7ba9a5c8e4b57b7f15924c853bdf7382109a2ccd1bafaed5d96cfc,c842e6c3e1fbcf899676f6eec9c904b05fc4a3958193c5e1dc38e2bcde2eb098
german_rem_v21,German,2x8,40814041439,1,2963,19785,2.584439272508136,2.510290140295934,0.07414913221220232,51133.13100657347,49666.09042575505,1467.0405808184223,2.5844392725081367,2.5102901402959317,0.07414913221220498,4.440892098500626e-16,2.220446049250313e-15,2.6645352591003757e-15,1e-09,True,True,True,0.06308866658811713,0.08459723506961683,676225b1a98886ff61bd027b33ea89d25e211f35ac5375ea2fed83fbc726eb29,c70b21ca4cdbcb6c433803ed44988261ddd4035bb21a33cdcff39e8c2fb068b2
german_rem_v21,German,2x8,40814041440,1,2963,19785,2.5868440375314288,2.5112664945660295,0.07557754296539931,51180.70928255932,49685.407594988894,1495.301687570427,2.586844037531434,2.511266494566034,0.0755775429654002,5.329070518200751e-15,4.440892098500626e-15,8.881784197001252e-16,1e-09,True,True,True,0.06479422236506535,0.08656379743339251,e9b4b7e9aa171a22a8d7d7da781d2680de7f429758c192a369130e8c34795ff6,1494b70345603250dd636ab055a335319b83119dccbbb8d1dc4d348db618e89c
german_rem_v21,German,2x8,40814041441,1,2963,19785,2.5903027496222513,2.510124767302245,0.08017798232000617,51249.13990127624,49662.81852107492,1586.3213802013197,2.5903027496222553,2.510124767302249,0.08017798232000617,3.9968028886505635e-15,3.9968028886505635e-15,0.0,1e-09,True,True,True,0.06891115077506797,0.09068649215625754,2a85a8b982e5233950c6dfa9b9d403627382a21d101cead902109e87668f69bb,ecdb203c072fe4a89e2352cfbb8d3b2c2501333c3cefb3ccb273380ca8101419
german_rem_v21,German,2x8,40814041442,1,2963,19785,2.586541844695918,2.508896195507406,0.07764564918851224,51174.73039730874,49638.511228114025,1536.2191691947155,2.586541844695919,2.5088961955074036,0.07764564918851535,8.881784197001252e-16,2.220446049250313e-15,3.1086244689504383e-15,1e-09,True,True,True,0.06691343241561337,0.08810628494789181,9a820044fca600bf5c3be4e9c4006bf7ac6b4404171ff46ee340352f019965d8,68e11ca8bdc5583eb052fd512a3c99d00026db4073e9d2ad64f1aeb94a8957d1
german_rem_v21,German,4x4,40814041438,1,2963,19785,2.5904036469395124,2.5132018876455864,0.07720175929392603,51251.13615469825,49723.69934706792,1527.436807630329,2.5904036469395058,2.5132018876455837,0.07720175929392203,6.661338147750939e-15,2.6645352591003757e-15,3.9968028886505635e-15,1e-09,True,True,True,0.06616158223373811,0.08807973396252836,1cf1a411a77c1b77d35086ad6ec606f1ac63ca14096c6a2be5912c70ddbfc435,3b96120b33ed59be989eac8d51015d50e7c674590a4283d34fc915877924a636
german_rem_v21,German,4x4,40814041439,1,2963,19785,2.5872931290553174,2.512986050203853,0.07430707885146459,51189.59455835946,49719.42900328323,1470.1655550762298,2.587293129055316,2.5129860502038452,0.07430707885147081,1.3322676295501878e-15,7.549516567451064e-15,6.217248937900877e-15,1e-09,True,True,True,0.06340906029674769,0.08503764027512602,45730df641da516c0d8453c50fe757b94fc38e0079aa9685f8515af1cb16ba4b,79d44a1849d2fbfe6487675204c16b0691e0ce547a9f6720b7e0185bf45143cc
german_rem_v21,German,4x4,40814041440,1,2963,19785,2.5895183178238868,2.514400461304109,0.07511785651977787,51233.6199181456,49747.413126901796,1486.206791243807,2.5895183178238943,2.5144004613041107,0.07511785651978364,7.549516567451064e-15,1.7763568394002505e-15,5.773159728050814e-15,1e-09,True,True,True,0.06392552475893101,0.08570653455363957,22a17df819e861977b17ac5909a92a4a4089b5962c3a85c1cd4cf88e2ec03a30,c474d3340a34b81fb16d48c521e77734111db74aab0f1d46ea2c8ac7d89cedd1
german_rem_v21,German,4x4,40814041441,1,2963,19785,2.592038558898185,2.5121000576725074,0.0799385012256777,51283.482887800594,49701.89964105056,1581.5832467500368,2.5920385588981842,2.5121000576725137,0.07993850122567059,8.881784197001252e-16,6.217248937900877e-15,7.105427357601002e-15,1e-09,True,True,True,0.06910271074003624,0.09061447826597215,e3ed61b36cf3d2c61e31b2e58df61f1d180264e041680cfdfdb129103f83b12d,a5219d03cd1a7c798c55c2adf2b6dcc56149d616af95536f9f3063dcae63ce48
german_rem_v21,German,4x4,40814041442,1,2963,19785,2.5882881367055592,2.511131720521492,0.07715641618406721,51209.280784719485,49682.741090517724,1526.5396942017614,2.5882881367055663,2.5111317205214907,0.07715641618407565,7.105427357601002e-15,1.3322676295501878e-15,8.43769498715119e-15,1e-09,True,True,True,0.06652220916009885,0.08743105981976443,36561c624e82f52aa6dab8ac8628097e4327854698e1edcf9ea311569c8ab199,c690a93d021d0cc583456a5acd987dbc3452055ab6c63e62bdbc127628da6f06
