replicate,token_markov_bits_per_event,matched_trigram_bits_per_event,delta_token_minus_trigram_bits_per_event
322,2.4888756774485814,2.3583600631253487,0.13051561432323266
323,2.5348759529719067,2.4003654244211177,0.13451052855078904
324,2.3568650040084966,2.248313703231915,0.1085513007765817
325,2.519440816856297,2.39278362713472,0.12665718972157736
326,2.5392155644689858,2.395073010366809,0.14414255410217658
327,2.448164915118091,2.3213603282229913,0.12680458689509955
328,2.4753063428220217,2.347465472726926,0.12784087009509548
329,2.477670721813317,2.3418850900118837,0.13578563180143322
330,2.479792696200746,2.352767673047443,0.127025023153303
331,2.4904899302682577,2.361494792813751,0.12899513745450664
332,2.486560454825869,2.3537713207726583,0.13278913405321058
333,2.411708762470312,2.3000875624538546,0.11162120001645759
334,2.4802930906282894,2.3397097928017776,0.1405832978265118
335,2.445629745944417,2.3314620749543793,0.11416767099003788
336,2.3651088218007046,2.2598990641736116,0.10520975762709295
337,2.465387845441493,2.3381818000481096,0.12720604539338343
338,2.5568095348814524,2.4290344019828005,0.12777513289865183
339,2.528447894271799,2.398121399673369,0.13032649459843038
340,2.4870423191194897,2.3551794648978315,0.13186285422165822
341,2.484006652837437,2.357330745631144,0.12667590720629285
342,2.409452147637622,2.2928602964769524,0.11659185116066961
343,2.4830052841535792,2.3580139468076426,0.12499133734593659
344,2.59508262228303,2.461426956299918,0.1336556659831123
345,2.529825063431789,2.4014778172505733,0.12834724618121562
346,2.3641142734663227,2.2506025219789936,0.11351175148732917
347,2.5240701670931043,2.398968942661518,0.1251012244315861
348,2.5578592970610154,2.4250081511476616,0.1328511459133539
349,2.594208035644958,2.4663844212895385,0.12782361435541967
350,2.4435081645167895,2.318775127052428,0.12473303746436137
351,2.4520149102045194,2.323544696734556,0.12847021346996357
352,2.5792606970561485,2.4368120184897815,0.142448678566367
353,2.3761744900663864,2.2550199731201204,0.121154516946266
354,2.4033794581206513,2.284316565984482,0.11906289213616938
355,2.5009165379992466,2.371553511124505,0.12936302687474166
356,2.4853958061685204,2.3617766657686268,0.12361914039989363
357,2.4433536207393862,2.3181020966912924,0.1252515240480938
358,2.4709318557831383,2.3437985333820652,0.1271333224010731
359,2.5253235092509527,2.392468437731442,0.13285507151951093
360,2.4801589131075144,2.3497807428082025,0.13037817029931187
361,2.5140046458162124,2.379891486819597,0.13411315899661558
362,2.4865888643298875,2.364013587445302,0.12257527688458536
363,2.4441581982106904,2.3233982758092417,0.12075992240144862
364,2.381881623378861,2.2622767493287395,0.11960487405012143
