replicate,slot_bits_per_event,matched_trigram_bits_per_event,delta_slot_minus_trigram_bits_per_event
117,2.866594186624177,2.3946674576549234,0.4719267289692537
118,2.8184792033526453,2.3447165081656816,0.4737626951869638
119,2.8754888826828067,2.458146048162513,0.41734283452029386
120,2.745671454053418,2.266584823749133,0.47908663030428533
121,2.869961691786888,2.3866411128240683,0.4833205789628199
122,2.747274744556325,2.2923871868767898,0.45488755767953526
123,2.8061152540317345,2.3264785306726266,0.4796367233591079
124,2.800756372142843,2.329114063813269,0.471642308329574
125,2.751344015182679,2.283459219619798,0.4678847955628811
126,2.8248882212258337,2.348342041175066,0.47654618005076754
127,2.7313016344196273,2.252627649187755,0.4786739852318722
128,2.7070290870207874,2.2307889525728792,0.47624013444790814
129,2.7708706612283245,2.2933130074261743,0.4775576538021502
130,2.7897071285967807,2.3262704476294727,0.46343668096730806
131,2.737492357444408,2.2812862738552115,0.45620608358919634
132,2.896241817534752,2.42287256771328,0.4733692498214723
133,2.865831789374589,2.3959217552621164,0.46991003411247245
134,2.870325774305303,2.433244757024626,0.43708101728067694
135,2.865456957080839,2.4199389587462403,0.4455179983345987
136,2.834478429213062,2.3643056145629804,0.4701728146500814
137,2.7879534258770238,2.310845723946065,0.47710770193095886
138,2.8492554735064854,2.3787703847772392,0.4704850887292462
139,2.885105211318706,2.432277162233751,0.452828049084955
140,2.8797808078274096,2.4786560869065055,0.4011247209209041
141,2.7944830481818617,2.353040856245799,0.4414421919360625
142,2.7206825496683638,2.257721608712621,0.4629609409557429
143,2.8083916250999823,2.3427786966366924,0.46561292846328994
144,2.7681486238724506,2.2916993322599475,0.47644929161250316
145,2.874699189652321,2.4127818791868414,0.4619173104654797
146,2.732377282112973,2.2812427173635967,0.4511345647493763
147,2.8819364807270027,2.4151903271400585,0.46674615358694416
148,2.827608987730049,2.389534807542623,0.43807418018742617
149,2.6921141748809334,2.238867007755256,0.4532471671256775
150,2.819259056279395,2.36164382263635,0.457615233643045
151,2.821567855712819,2.3531538836171975,0.46841397209562174
152,2.8522539982861943,2.39135314270495,0.46090085558124416
153,2.8456823431954494,2.3901618603848096,0.45552048281063984
154,2.8010319892359896,2.3249343233467585,0.4760976658892311
155,2.705896180902842,2.2665483139194285,0.43934786698341366
156,2.763057773976847,2.302547577460343,0.4605101965165037
157,2.794119273272227,2.336122578951196,0.45799669432103096
158,2.8766393153907526,2.4273724389200124,0.44926687647074015
159,2.796666546514384,2.3326209940062594,0.4640455525081246
160,2.7501182820452588,2.2755003705247234,0.47461791152053534
161,2.672132515083057,2.2075693637171327,0.4645631513659243
162,2.8792023051200593,2.4176297267612528,0.4615725783588065
163,2.788296630515709,2.3215430049701524,0.46675362554555644
164,2.7708864705745326,2.3075313926970185,0.4633550778775142
165,2.7501866561529384,2.2929945357723676,0.4571921203805709
166,2.8436045199256204,2.379854748511837,0.4637497714137835
167,2.769981090290807,2.30336448591242,0.46661660437838703
168,2.729716137865341,2.2594995903306776,0.4702165475346636
