replicate,copy_edit_bits_per_event,matched_trigram_bits_per_event,delta_copy_minus_trigram_bits_per_event
374,3.5441725538809408,2.4976973200431902,1.0464752338377505
375,3.4812458875888166,2.3213363728129797,1.159909514775837
376,3.4006187244287838,2.2491522384579743,1.1514664859708095
377,3.5090304872763043,2.4201725714034765,1.0888579158728278
378,3.5084892766526132,2.38445472398669,1.1240345526659232
379,3.409060179893757,2.229971930480144,1.179088249413613
380,3.538832335843846,2.440045432503305,1.0987869033405406
381,3.4100379620182943,2.249543165013102,1.1604947970051924
382,3.531457297541633,2.495505818632409,1.0359514789092241
383,3.5046312850386685,2.43233957077282,1.0722917142658486
384,3.433485357254238,2.2539768651180756,1.1795084921361623
385,3.4611045344335727,2.328569681517471,1.132534852916102
386,3.4693323220974075,2.2996995576479797,1.1696327644494278
387,3.4607618365208896,2.322816766338283,1.1379450701826066
388,3.4788206741537553,2.3450151993759354,1.13380547477782
389,3.476528137691323,2.405701810208027,1.0708263274832959
390,3.523100296629318,2.4074854432378947,1.1156148533914232
391,3.4371548461623087,2.292548122042485,1.1446067241198237
392,3.455636397607426,2.2745759578112583,1.1810604397961675
393,3.4396435120963558,2.295683491628172,1.143960020468184
394,3.520860894519967,2.383147568501273,1.137713326018694
395,3.5239681327535624,2.418368531954185,1.1055996007993771
396,3.502566609518722,2.393270715118274,1.1092958944004478
397,3.5384355541957713,2.488891948369359,1.0495436058264125
398,3.3858598016891657,2.1900724262880797,1.195787375401086
399,3.406553763853628,2.265158705623956,1.141395058229672
400,3.4779954090925376,2.349386215402997,1.1286091936895404
401,3.462975771280999,2.345928139395149,1.1170476318858502
402,3.477384682217085,2.381225461726095,1.09615922049099
403,3.3720191788856217,2.2206973962762797,1.151321782609342
404,3.4702442202388775,2.3335936558309744,1.136650564407903
405,3.494566672401844,2.3377982284075975,1.1567684439942463
406,3.437859787007954,2.2702193917661977,1.1676403952417562
407,3.4500248754065397,2.307705469627951,1.1423194057785886
408,3.440371988205125,2.303567245725287,1.1368047424798382
409,3.5270681322777553,2.4148860552195477,1.1121820770582076
410,3.466916662190173,2.326650979148108,1.140265683042065
411,3.5144536722686897,2.4313527682750893,1.0831009039936004
412,3.4398481396207794,2.293116121354897,1.1467320182658822
413,3.5000958801492414,2.347075500346197,1.1530203798030443
414,3.4486979639523683,2.2591101378669762,1.189587826085392
415,3.3831775794186596,2.261146225422357,1.1220313539963027
416,3.4345845896558034,2.375615573388953,1.0589690162668504
417,3.4957097074850476,2.4535992627789716,1.042110444706076
418,3.5103053093360224,2.3597052645786705,1.150600044757352
419,3.543871670088756,2.5249836066761344,1.0188880634126214
420,3.5232527738582498,2.4099661367342238,1.113286637124026
421,3.5258282582567135,2.400484672352421,1.1253435859042926
422,3.440027247262847,2.2626694653857924,1.1773577818770544
423,3.4164246759375954,2.230526747307945,1.1858979286296503
424,3.40863522710216,2.321002569888435,1.087632657213725
425,3.425479455059179,2.2462878323400575,1.1791916227191215
426,3.4655940792846383,2.33854803218957,1.1270460470950683
427,3.452807424252302,2.35555484831721,1.0972525759350922
