view,order,leaf_group,folio,locus,total_bits,total_events,glyph_bits,glyph_events,boundary_bits,boundary_events,oov_events,bits_per_event,glyph_bits_per_glyph
token_reset_eot,3,f66,f66r,"f66r.4,+L0",10.753360630211898,5,10.695255908297288,4,0.05810472191461011,1,0,2.1506721260423793,2.673813977074322
token_reset_eot,3,f66,f66r,"f66r.40,+L0",13.664375513789832,2,5.202926517072644,1,8.461448996717188,1,0,6.832187756894916,5.202926517072644
token_reset_eot,3,f66,f66r,"f66r.41,+L0",7.732977067055748,2,2.133063221682629,1,5.599913845373118,1,0,3.866488533527874,2.133063221682629
token_reset_eot,3,f66,f66r,"f66r.42,+L0",27.420857494522814,2,25.084264625592475,1,2.336592868930337,1,1,13.710428747261407,25.084264625592475
token_reset_eot,3,f66,f66r,"f66r.43,+L0",7.670790640983571,2,4.75287299052013,1,2.9179176504634414,1,0,3.8353953204917857,4.75287299052013
token_reset_eot,3,f66,f66r,"f66r.44,+L0",7.87694644010145,2,6.200945764899731,1,1.6760006752017185,1,0,3.938473220050725,6.200945764899731
token_reset_eot,3,f66,f66r,"f66r.45,+L0",13.664375513789832,2,5.202926517072644,1,8.461448996717188,1,0,6.832187756894916,5.202926517072644
token_reset_eot,3,f66,f66r,"f66r.46,+L0",7.732977067055748,2,2.133063221682629,1,5.599913845373118,1,0,3.866488533527874,2.133063221682629
token_reset_eot,3,f66,f66r,"f66r.47,+L0",14.224313514719356,2,11.570237881976913,1,2.654075632742443,1,0,7.112156757359678,11.570237881976913
token_reset_eot,3,f66,f66r,"f66r.48,+L0",14.55322223318105,2,6.1627344678040155,1,8.390487765377035,1,0,7.276611116590525,6.1627344678040155
token_reset_eot,3,f66,f66r,"f66r.49,+L0",9.87737321944153,2,3.4267074703418734,1,6.450665749099658,1,0,4.938686609720765,3.4267074703418734
token_reset_eot,3,f66,f66r,"f66r.5,+L0",12.480334589831655,6,11.80830569132876,5,0.6720288985028938,1,0,2.0800557649719424,2.361661138265752
token_reset_eot,3,f66,f66r,"f66r.50,@P0",152.4336746293045,54,139.9318512041385,45,12.501823425165993,9,0,2.822845826468602,3.1095966934253
token_reset_eot,3,f66,f66r,"f66r.51,+P0",96.02271301552021,54,91.09575521058032,45,4.926957804939881,9,0,1.7781983891763002,2.024350115790674
token_reset_eot,3,f66,f66r,"f66r.52,+P0",112.40808963482282,49,105.82951592817977,39,6.578573706643057,10,0,2.294042645608629,2.713577331491789
token_reset_eot,3,f66,f66r,"f66r.53,+P0",114.4779476773813,57,112.11447394572842,46,2.3634737316528747,11,0,2.008385046971602,2.4372711727332264
token_reset_eot,3,f66,f66r,"f66r.54,+P0",90.88606319831894,56,90.32230014277025,48,0.5637630555486751,8,0,1.6229654142556953,1.8817145863077134
token_reset_eot,3,f66,f66r,"f66r.55,+P0",118.58812645930885,50,114.77716713125248,42,3.810959328056345,8,0,2.371762529186177,2.7327896936012497
token_reset_eot,3,f66,f66r,"f66r.56,+P0",32.97569845427723,18,32.27156665510646,15,0.7041317991707635,3,0,1.831983247459846,2.1514377770070974
token_reset_eot,3,f66,f66r,"f66r.57,+P0",134.07730210402934,51,130.30422361561116,43,3.773078488418139,8,0,2.628966707922144,3.030330781758399
token_reset_eot,3,f66,f66r,"f66r.58,+P0",125.25816886589334,52,123.34069339321609,42,1.9174754726772432,10,0,2.408810939728718,2.9366831760289545
token_reset_eot,3,f66,f66r,"f66r.59,+P0",143.53097818864896,49,119.10345355287424,39,24.427524635774738,10,0,2.92920363650304,3.053934706483955
token_reset_eot,3,f66,f66r,"f66r.6,+L0",12.487823448858155,5,12.429476511102681,4,0.05834693775547275,1,0,2.497564689771631,3.1073691277756703
token_reset_eot,3,f66,f66r,"f66r.60,+P0",109.8450247928933,52,108.07659843915222,43,1.7684263537410922,9,0,2.1124043229402556,2.513409266026796
token_reset_eot,3,f66,f66r,"f66r.61,+P0",93.87214326509266,55,91.86108330747524,44,2.01105995761741,11,0,1.706766241183503,2.08775189335171
token_reset_eot,3,f66,f66r,"f66r.62,+P0",116.05531777095209,34,110.12738110803747,25,5.927936662914644,9,0,3.4133916991456497,4.405095244321498
token_reset_eot,3,f66,f66r,"f66r.63,+P0",145.63347022432484,56,138.43234474959567,47,7.201125474729166,9,0,2.6005976825772295,2.94536903722544
token_reset_eot,3,f66,f66r,"f66r.64,+P0",133.823990973453,52,121.5016160727562,42,12.322374900696792,10,0,2.573538287951019,2.8928956207799095
token_reset_eot,3,f66,f66r,"f66r.65,+P0",129.55889996810492,54,127.75353214003876,43,1.8053678280661587,11,0,2.3992388882982394,2.9710123753497384
token_reset_eot,3,f66,f66r,"f66r.66,+P0",67.25482449688133,33,64.85824891894363,26,2.396575577937684,7,0,2.0380249847539798,2.494548035343986
token_reset_eot,3,f66,f66r,"f66r.67,+P0",114.61456942122093,54,112.71976202245675,45,1.8948073987641938,9,0,2.122492026318906,2.504883600499039
token_reset_eot,3,f66,f66r,"f66r.68,+P0",120.19559309558485,55,116.44497151739118,43,3.7506215781936807,12,0,2.1853744199197247,2.708022593427702
token_reset_eot,3,f66,f66r,"f66r.69,+P0",106.22519458046256,46,101.73040076186606,37,4.494793818596485,9,0,2.3092433604448384,2.749470290861245
token_reset_eot,3,f66,f66r,"f66r.7,+L0",25.550646609003024,5,18.148862050343283,4,7.401784558659742,1,0,5.1101293218006045,4.537215512585821
token_reset_eot,3,f66,f66r,"f66r.70,+P0",134.82924472488776,57,132.70921848406522,46,2.120026240822516,11,0,2.3654253460506625,2.884983010523157
token_reset_eot,3,f66,f66r,"f66r.71,+P0",108.90068147060651,53,106.05395246576214,43,2.8467290048443643,10,0,2.0547298390680475,2.4663709875758637
token_reset_eot,3,f66,f66r,"f66r.72,+P0",113.64953800458316,53,109.30247993676056,43,4.347058067822618,10,0,2.1443309057468523,2.541918138064199
